set STUDENT := ST1	ST2	ST3 ST5	ST6	ST4	ST7	ST8	ST9	ST10 ST11 ST12 ST13 ST14 ST15 ST16 ST17 ST18 ST19 ST20 ST21 ST22 ST23;

param:  PROJECT:                    Cmin Cmax :=
   P1						     	4     5      
   P2					         	4     5  
   P3								4     5
   P4						     	4     5      
   P5					         	4     5 ;

     
param cost : P1  P2  P3 P4 P5 := #en fonction du voeu et de la fonction coût ici linéaire
	ST1	 1000 1 100000 10000 100  
	ST2	 1000 1 100 10000 100000 
	ST3  100000 10000 1000 1 100
	ST4  10000 1000 1 100 100000
	ST5	 100000 100 1000 10000 1 
	ST6	 100 100000 1 1000 10000 
	ST7	 1 100 100000 10000 1000 
	ST8	 100 100000 10000 1000 1 
	ST9	 100 1000 1 100000 10000 
	ST10 100 100000 10000 1 1000  
	ST11 1 1000 100000 10000 100  
	ST12 100 10000 1 1000 100000  
	ST13 100 100000 10000 1 1000  
	ST14 100 1000 100000 10000 1  
	ST15 100 1000 10000 1 100000  
	ST16 10000 1 100000 1000 100  
	ST17 1000 100 1 100000 10000  
	ST18 100000 100 1 1000 10000  
	ST19 100 10000 100000 1000 1  
	ST20 1 100 10000 1000 100000  
	ST21 1 10000 1000 100000 100  
	ST22 100000 100 1000 10000 1  
	ST23 100 1000 10000 100000 1 ;
	
                               
