set STUDENT := ST1	ST2	ST3 ST5	ST6	ST4	ST7	ST8	ST9	ST10 ST11 ST12 ST13 ST14 ST15 ST16 ST17 ST18 ST19 ST20 ST21 ST22 ST23;

param:  PROJECT:                    Cmin Cmax :=
   P1						     	4     5      
   P2					         	4     5  
   P3								4     5
   P4						     	4     5      
   P5					         	4     5 ;

     
param cost : P1  P2  P3 P4 P5 := #en fonction du voeu et de la fonction coût ici linéaire
	ST1	 100000 1000 100 1 10000  
	ST2	 10000 100000 100 1 1000 
	ST3  1000 1 100 100000 10000
	ST4  10000 1 100 100000 1000
	ST5	 1000 1 100000 10000 100 
	ST6	 10000 100000 1 1000 100 
	ST7	 1 100000 100 10000 1000 
	ST8	 100000 1000 100 1 10000 
	ST9	 1000 100000 100 1 10000 
	ST10 100000 1 100 10000 1000  
	ST11 1000 10000 100 1 100000  
	ST12 1000 1 100000 10000 100  
	ST13 1000 1 10000 100000 100  
	ST14 1000 100000 100 10000 1  
	ST15 100000 1000 100 10000 1  
	ST16 1000 100000 100 1 10000  
	ST17 1 100000 10000 100 1000  
	ST18 100 100000 10000 1000 1  
	ST19 100 10000 100000 1 1000  
	ST20 1000 100000 1 10000 100  
	ST21 1 100000 10000 1000 100  
	ST22 1 100 1000 100000 10000  
	ST23 10000 1 100 1000 100000 ;
	
                               
